Table 13,,,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by State, Federal, and Agency, 2021",,,,,,,,,,,,,
State,Agency type,Agency name,Number of incidents per bias motivation,,,,,,Number of incidents per quarter,,,,Population1
,,,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,,Waterford,0,1,0,0,0,0,0,0,1,0,"18,803"
,,West Hartford,1,0,0,0,0,0,1,0,0,0,"62,809"
,,West Haven,0,0,2,0,0,0,1,0,1,0,"54,248"
,,Westport,0,0,1,0,0,0,0,1,0,0,"28,652"
,Universities and Colleges,,2,2,0,0,0,0,,,,,
,,"University of Connecticut, Storrs, Avery Point, and Hartford3",2,2,0,0,0,0,2,0,0,2,
,State Police Agencies,,1,0,1,0,0,0,,,,,
,,Connecticut State Police2,1,0,1,0,0,0,1,0,0,0,
,Tribal Agencies,,1,0,0,0,0,0,,,,,
,,Mashantucket Pequot Tribal,1,0,0,0,0,0,1,0,0,0,
,Other Agencies,,2,0,0,0,0,0,,,,,
,,Department of Energy and Environmental Protection2,2,0,0,0,0,0,0,1,0,0,
Delaware,Total,,5,2,2,0,0,0,,,,,
,Cities,,2,0,0,0,0,0,,,,,
,,Dover,1,0,0,0,0,0,0,0,0,1,"38,439"
,,Wilmington,1,0,0,0,0,0,0,1,0,0,"70,331"
,Universities and Colleges,,1,1,0,0,0,0,,,,,
,,University of Delaware,1,1,0,0,0,0,0,0,0,2,"26,527"
,Metropolitan Counties,,1,0,0,0,0,0,,,,,
,,New Castle County Police Department,1,0,0,0,0,0,0,1,0,0,
,Other Agencies,,1,1,2,0,0,0,,,,,
,,River and Bay Authority,1,0,0,0,0,0,1,0,0,0,
,,State Fire Marshal,0,1,2,0,0,0,0,0,2,1,
District of Columbia,Total,,35,3,17,0,0,12,,,,,
,Cities,,31,3,14,0,0,12,,,,,
,,Washington2,31,3,14,0,0,12,,,29,29,"670,050"
,Other Agencies,,4,0,3,0,0,0,,,,,
,,Metro Transit Police2,4,0,3,0,0,0,1,2,2,1,
Florida,Total,,1,0,0,0,0,0,,,,,
,Tribal Agencies,,1,0,0,0,0,0,,,,,
,,Seminole Tribal,1,0,0,0,0,0,1,0,0,0,
Georgia,Total,,164,29,37,3,3,12,,,,,
,Cities,,81,13,24,2,1,4,,,,,
,,Alpharetta,0,2,0,0,0,0,1,0,0,1,"68,954"
,,Athens-Clarke County,2,0,0,0,0,0,1,0,1,0,"127,410"
,,Atlanta,4,0,3,0,0,3,1,5,3,1,"521,274"
,,Bremen,1,0,0,0,0,0,0,1,0,0,"6,880"
,,Brookhaven2,10,4,6,0,1,0,4,6,7,3,"56,770"
,,Canton,1,0,0,0,0,0,0,1,0,0,"33,386"
,,Cartersville,1,0,0,0,0,0,0,0,1,0,"22,276"
,,Columbus,0,0,1,1,0,1,3,,,,"196,633"
,,Decatur,1,0,0,0,0,0,1,0,0,0,"26,350"
,,Douglasville,4,0,0,0,0,0,4,0,0,0,"34,475"
,,Duluth,1,0,0,0,0,0,0,0,1,0,"29,986"
,,Dunwoody ,2,0,0,0,0,0,1,1,0,0,"49,621"
,,Fitzgerald,0,0,1,0,0,0,0,0,1,0,"8,563"
,,Forest Park,1,0,0,0,0,0,1,0,0,0,"20,015"
,,Gainesville,4,1,1,0,0,0,1,1,2,2,"45,385"
,,Griffin,0,0,1,0,0,0,1,0,0,0,"22,617"
,,Hartwell,1,0,0,0,0,0,1,0,0,0,"4,453"
,,Hiram,1,0,0,0,0,0,0,1,0,0,"4,315"
,,Jackson,0,1,0,0,0,0,0,0,1,0,"5,361"
,,Kennesaw,1,0,1,0,0,0,2,0,0,0,"35,145"
,,LaGrange,1,0,0,0,0,0,0,0,1,0,"30,874"
,,Lawrenceville,2,0,0,0,0,0,0,0,0,2,"31,223"
,,Madison,0,0,1,0,0,0,0,0,0,1,"4,286"
,,Marietta,3,0,2,0,0,0,0,2,2,1,"61,223"
,,Metter,1,0,0,0,0,0,0,0,0,1,"4,000"
,,Milton,1,0,0,0,0,0,0,1,0,0,"40,781"
,,Newnan,2,1,1,0,0,0,2,1,1,0,"44,023"
,,Norcross,2,0,0,0,0,0,0,0,0,2,"18,337"
,,Peachtree City,0,1,0,0,0,0,0,0,1,0,"36,994"
,,Rockmart,1,0,0,0,0,0,1,0,0,0,"4,520"
,,Rome,3,0,0,0,0,0,1,0,0,2,"36,792"
,,Sandy Springs,3,0,0,0,0,0,0,0,1,2,"111,533"
,,Smyrna2,9,1,4,0,0,0,5,3,4,0,"57,024"
,,South Fulton2,3,0,2,0,0,0,2,2,0,0,"104,282"
,,Suwanee,2,0,0,0,0,0,1,0,0,1,"22,579"
,,Temple,1,0,0,0,0,0,0,1,0,0,"5,104"
,,Thomasville,11,1,0,1,0,0,4,5,3,1,"18,485"
,,Toccoa,0,1,0,0,0,0,0,0,1,0,"8,283"
,,Woodstock,1,0,0,0,0,0,0,1,0,0,"34,798"
,Universities and Colleges,,1,1,1,0,0,1,,,,,
,,Emory University,0,1,1,0,0,1,0,1,0,2,"15,970"
,,University of North Georgia,1,0,0,0,0,0,0,0,0,1,"23,141"
,Metropolitan Counties,,61,3,10,1,2,6,,,,,
,,Carroll,2,0,0,0,0,0,0,0,2,0,
,,Cherokee,1,0,1,0,0,0,0,1,1,0,
,,Clayton County Police Department,1,0,2,0,0,0,1,0,2,,
,,Cobb County Police Department,7,2,2,0,0,1,3,4,2,3,
,,Coweta,6,0,1,0,0,0,1,1,4,1,
,,DeKalb County Police Department,0,0,1,0,0,0,0,0,0,1,
,,Fayette,1,0,0,0,0,0,0,1,0,0,
,,Floyd County Police Department,3,0,0,0,0,0,1,0,0,2,
,,Forsyth,7,0,0,0,0,0,4,1,1,1,
,,Fulton,0,0,0,1,0,0,0,0,1,0,
,,Fulton County Police Department,1,0,0,0,0,0,0,1,0,0,
,,Glynn County Police Department,4,0,1,0,0,1,2,0,0,4,
,,Hall,6,0,1,0,0,0,1,2,2,2,
,,Lowndes,1,0,0,0,0,0,0,0,0,1,
,,McIntosh,1,0,0,0,0,0,0,1,0,0,
,,Newton2,6,0,0,0,2,0,0,3,0,0,
,,Oglethorpe,2,0,0,0,0,0,2,0,0,0,
,,Paulding2,6,1,0,0,0,4,1,0,6,3,
,,Rockdale,1,0,0,0,0,0,1,0,0,0,
,,Spalding,2,0,0,0,0,0,1,0,1,0,
,,Twiggs,1,0,0,0,0,0,0,0,0,1,
,,Whitfield,2,0,1,0,0,0,1,2,0,0,
,Nonmetropolitan Counties,,15,10,2,0,0,0,,,,,
,,Bulloch,7,1,0,0,0,0,5,3,0,0,
,,Crisp,1,0,0,0,0,0,0,1,0,0,
,,Elbert,0,1,0,0,0,0,0,1,0,0,
,,Gordon,0,8,0,0,0,0,8,0,0,0,
,,Lumpkin,1,0,0,0,0,0,1,0,0,0,
,,Pulaski,3,0,0,0,0,0,0,0,0,3,
,,Rabun,0,0,1,0,0,0,0,0,1,0,
,,Troup,2,0,0,0,0,0,0,1,0,1,
,,Union,1,0,0,0,0,0,0,0,0,1,
,,White,0,0,1,0,0,0,0,0,0,1,
,Other Agencies,,6,2,0,0,0,1,,,,,
,,Cherokee County Board of Education,1,0,0,0,0,0,0,0,0,1,
,,Cobb County Board of Education,3,1,0,0,0,0,1,0,2,1,
,,Fulton County School System,2,1,0,0,0,1,1,0,2,1,
Hawaii,Total,,29,4,3,0,0,0,,,,,
,Cities,,20,3,3,0,0,0,,,,,
,,Honolulu2,20,3,3,0,0,0,9,4,10,2,"985,138"
,Nonmetropolitan Counties,,9,1,0,0,0,0,,,,,
,,Kauai Police Department2,9,1,0,0,0,0,4,3,0,2,
Idaho,Total,,29,4,11,0,0,0,,,,,
,Cities,,24,4,10,0,0,0,,,,,
,,Boise2,8,1,5,0,0,0,0,5,5,3,"231,902"
,,Chubbuck,1,0,0,0,0,0,0,1,0,0,"16,168"
,,Coeur d'Alene,2,0,0,0,0,0,0,0,2,0,"54,358"
,,Emmett,0,0,1,0,0,0,0,0,1,0,"7,346"
,,Fruitland,0,0,1,0,0,0,0,0,1,0,"5,655"
,,Garden City,1,0,0,0,0,0,0,1,0,0,"12,018"
,,Homedale,2,1,0,0,0,0,0,0,1,2,"2,851"
,,Idaho Falls,0,0,2,0,0,0,1,0,1,0,"64,792"
,,Jerome,1,0,0,0,0,0,1,0,0,0,"12,231"
,,Ketchum2,2,0,0,0,0,0,0,0,1,0,"2,932"
,,Moscow,1,1,0,0,0,0,0,0,1,1,"26,368"
,,Nampa,2,0,0,0,0,0,0,0,2,0,"105,619"
,,Payette,1,0,0,0,0,0,0,0,1,0,"8,065"
